Year 	Moyen orient	Asie	Africa
1946	3	7	0
1947	0	8	1
1948	2	13	0
1949	2	15	0
1950	1	15	0
1951	2	12	0
1952	2	10	1
1953	1	11	3
1954	1	8	4
1955	1	6	4
1956	2	8	4
1957	2	8	4
1958	3	9	4
1959	2	11	2
1960	1	10	4
1961	2	11	5
1962	3	11	4
1963	4	10	4
1964	4	11	9
1965	4	12	7
1966	6	11	9
1967	8	12	10
1968	4	11	9
1969	5	13	8
1970	5	11	8
1971	2	13	11
1972	3	10	8
1973	5	11	6
1974	5	13	6
1975	4	15	7
1976	3	14	11
1977	2	15	14
1978	2	16	15
1979	9	15	11
1980	8	14	14
1981	7	16	13
1982	9	14	12
1983	6	14	16
1984	7	17	12
1985	6	14	11
1986	8	16	13
1987	7	18	14
1988	6	16	11
1989	4	13	12
1990	7	20	13
1991	8	14	17
1992	6	17	14
1993	7	13	11
1994	6	18	15
1995	6	15	10
1996	7	18	20
1997	4	19	33
1998	3	15	32
1999	3	16	32
2000	3	18	33
2001	3	15	31
2002	2	13	28
2003	3	16	27
2004	3	15	25
2005	5	16	23
2006	5	15	25
2007	4	14	26
2008	4	15	28
2009	5	15	28
2010	5	12	22
2011	6	13	28
2012	5	10	23
2013	4	14	27
2014	6	14	26

