Type of weapon	Aircraft	Ships
1959	426	82
1960	412	58
1961	500	18
1962	436	0
1963	686	5
1964	882	17
1965	724	33
1966	1158	56
1967	833	176
1968	613	264
1969	675	222
1970	939	244
1971	1650	177
1972	1745	314
1973	1764	585
1974	1201	370
1975	1178	292
1976	1179	46
1977	1314	421
1978	1666	602
1979	1697	229
1980	1870	591
1981	1733	633
1982	1689	597
1983	1468	669
1984	1294	226
1985	1488	1082
1986	1052	924
1987	917	32
1988	965	52
1989	1322	36
1990	1011	56
1991	413	36
1992	533	55
1993	140	0
1994	145	16
1995	200	76
1996	282	739
1997	1039	984
1998	1619	449
1999	345	555
2000	355	170
2001	394	484
2002	412	568
2003	720	260
2004	1011	695
2005	936	299
2006	889	0
2007	1157	280
2008	328	1145
2009	389	932
2010	280	72
2011	972	215
2012	360	25
2013	392	227
2014	437	551
2015	586	678
